,CD_UNIDADE,DESC_UNIDADE,CD_EQUIPAMENTO,CD_OPERADOR,DT_HORA_INI,DT_HORA_FIM,CD_OPERACAO,DESC_OPERACAO,CD_GRP_OPERACAO,DESC_GRP_OPERACAO,VL_HR_OPERACIONAL,CD_FAZENDA,CD_GRP_EQUIPAMENTO,DESC_GRP_EQUIPAMENTO,VL_VELOCIDADE_MEDIA,CD_TP_EQUIPAMENTO,INFA_EXT_DT,VL_ESPACAMENTO_IMPLEMENTO,DESC_APLICACAO,HORA_INI,HORA_FIM,Personalizar
723,4,ITUMBIARA,46440,21156,2021-10-29T09:18:02.0000000,2021-10-29T09:18:04.0000000,803,CHUVA/VENTO/UMIDADE/TEMPERATURA,50,INAPTIDAO,0.0006,4107,22,402 - FRT COLHEITA MECANIZADA ITB,0.0,1,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
724,4,ITUMBIARA,46440,21156,2021-10-29T09:17:44.0000000,2021-10-29T09:18:02.0000000,803,CHUVA/VENTO/UMIDADE/TEMPERATURA,50,INAPTIDAO,0.005,4107,22,402 - FRT COLHEITA MECANIZADA ITB,0.0,1,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
725,4,ITUMBIARA,46166,33841,2021-10-29T09:16:58.0000000,2021-10-29T09:18:01.0000000,803,CHUVA/VENTO/UMIDADE/TEMPERATURA,50,INAPTIDAO,0.0175,4277,21,401 - FRT COLHEITA MECANIZADA ITB,0.0,2,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
726,3,ITUIUTABA,36279,550059,2021-10-29T09:15:29.0000000,2021-10-29T09:17:59.0000000,729,COLHEITA CANA MECANIZADA,53,PRODUTIVA,0.0417,4051,2,302 - FRT COLHEITA MECANIZADA ITT,6.67,1,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
727,3,ITUIUTABA,36316,33583,2021-10-29T09:16:57.0000000,2021-10-29T09:17:58.0000000,632,DESLOC CARREG TRANSB CARREADOR,53,PRODUTIVA,0.0169,4250,3,303 - FRT COLHEITA MECANIZADA ITT,6.97,2,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
728,3,ITUIUTABA,36271,10135,2021-10-29T09:16:43.0000000,2021-10-29T09:17:51.0000000,1055,MANOBRA,53,PRODUTIVA,0.0189,4250,3,303 - FRT COLHEITA MECANIZADA ITT,2.58,1,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
729,4,ITUMBIARA,46440,21156,2021-10-29T09:16:47.0000000,2021-10-29T09:17:44.0000000,854,MUDANCA DE AREA RODANDO,8051,AUXILIAR OPERACAO,0.0158,4107,22,402 - FRT COLHEITA MECANIZADA ITB,3.59,1,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
730,3,ITUIUTABA,36226,551055,2021-10-29T09:17:20.0000000,2021-10-29T09:17:41.0000000,630,CARREG CANA COLHIDA  NO TRANSBORDO,53,PRODUTIVA,0.0058,4051,2,302 - FRT COLHEITA MECANIZADA ITT,6.88,2,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
731,3,ITUIUTABA,36311,551292,2021-10-29T09:17:12.0000000,2021-10-29T09:17:38.0000000,630,CARREG CANA COLHIDA  NO TRANSBORDO,53,PRODUTIVA,0.0072,4231,1,301 - FRT COLHEITA MECANIZADA ITT,5.98,2,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
732,4,ITUMBIARA,46434,15397,2021-10-29T09:15:50.0000000,2021-10-29T09:17:36.0000000,1055,MANOBRA,53,PRODUTIVA,0.0294,4277,21,401 - FRT COLHEITA MECANIZADA ITB,2.14,1,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
